역번호,호선명,역명,부역명,위도,경도,환승노선명
95,1호선,다대포해수욕장,몰운대,128.9641,35.04867,
96,1호선,다대포항,,128.9713,35.05782,
97,1호선,낫개,,128.979873,35.065265,
98,1호선,신장림,,128.977041,35.074433,
99,1호선,장림,,128.9775,35.08109,
100,1호선,동매,,128.9742,35.0899,
101,1호선,신평,,128.960564,35.095179,
102,1호선,하단,,128.966803,35.10618,
103,1호선,당리,사하구청,128.973846,35.103532,
104,1호선,사하,,128.9831,35.099847,
105,1호선,괴정,,128.992144,35.099816,
106,1호선,대티,,128.999936,35.103126,
107,1호선,서대신,삼육부산병원　,129.012178,35.110937,
108,1호선,동대신,,129.017684,35.110452,
109,1호선,토성,,129.019776,35.100727,
110,1호선,자갈치,,129.02667,35.097372,
111,1호선,남포,,129.034869,35.097953,
112,1호선,중앙,,129.036371,35.103837,
113,1호선,부산,짐캐리,129.0397,35.115224,
114,1호선,초량,,129.043039,35.121168,
115,1호선,부산진,해양수산부 · 동구청,129.047894,35.127787,
116,1호선,좌천,,129.054455,35.134361,
117,1호선,범일,,129.059352,35.140952,
118,1호선,범내골,이샘병원,129.059261,35.1474,
119,1호선,서면,청맥병원,129.059556,35.158282,2호선
120,1호선,부전,부산시민공원·송상현광장,129.062952,35.162587,
121,1호선,양정,주식회사 소셜빈,129.071366,35.173122,
122,1호선,시청,연제,129.076642,35.179837,
123,1호선,연산,,129.081534,35.186168,3호선
124,1호선,교대,,129.080035,35.19605,동해선
125,1호선,동래,한국건강관리협회　,129.078506,35.205641,4호선
126,1호선,명륜,,129.079659,35.212551,
127,1호선,온천장,우리들병원　,129.086437,35.220249,
128,1호선,부산대,,129.089358,35.229609,
129,1호선,장전,,129.088111,35.23809095,
130,1호선,구서,,129.091327,35.247407,
131,1호선,두실,,129.091386,35.256959,
132,1호선,남산,,129.092496,35.265404,
133,1호선,범어사,,129.092679,35.273105,
134,1호선,노포,종합버스터미널,129.094967,35.28468657,
201,2호선,장산,해운대백병원,129.176986,35.169914,
202,2호선,중동,해운대나눔과행복병원,129.168604,35.1667,
203,2호선,해운대,해운대부민병원,129.158908,35.163672,
204,2호선,동백,,129.147897,35.161484,
205,2호선,벡스코,시립미술관　,129.138933,35.168844,동해선
206,2호선,센텀시티,벡스코,129.131745,35.168827,
207,2호선,민락,,129.121909,35.167228,
208,2호선,수영,,129.114713,35.165227,3호선
209,2호선,광안,박원욱병원,129.113168,35.157916,
210,2호선,금련산,,129.110961,35.149771,
211,2호선,남천,KBS · 수영구청,129.107978,35.142139,
212,2호선,경성대ㆍ부경대,동명대학교,129.100548,35.137585,
213,2호선,대연,부산고려병원,129.092161,35.135153,
214,2호선,못골,남구청,129.084415,35.134731,
215,2호선,지게골,,129.074365,35.135574,
216,2호선,문현,,129.067399,35.139151,
217,2호선,국제금융센터ㆍ부산은행,연세미래IFC의원,129.066755,35.145817,
218,2호선,전포,,129.065374,35.153102,
219,2호선,서면,청맥병원,129.059084,35.15774,1호선
220,2호선,부암,온종합병원,129.050185,35.157444,
221,2호선,가야,,129.042817,35.155883,
222,2호선,동의대,,129.03275,35.153986,
223,2호선,개금,부산백병원　,129.020533,35.153284,
224,2호선,냉정,,129.012255,35.151254,
225,2호선,주례,,129.003077,35.150508,
226,2호선,감전,사상구청 · 한국건강관리협회,128.991146,35.155528,
227,2호선,사상,서부터미널,128.984621,35.162361,부산김해경전철
228,2호선,덕포,부산도서관,128.983955,35.173754,
229,2호선,모덕,,128.985621,35.180366,
230,2호선,모라,,128.988655,35.189663,
231,2호선,구남,,128.994928,35.196804,
232,2호선,구명,,128.999322,35.20252,
233,2호선,덕천,,129.005673,35.210219,3호선
234,2호선,수정,방송통신대,129.009198,35.223356,
235,2호선,화명,더퍼스트피부과의원,129.013918,35.236278,
236,2호선,율리,,129.012918,35.246714,
237,2호선,동원,,129.012392,35.258656,
238,2호선,금곡,빛하늘의원,129.0169054,35.267248,
239,2호선,호포,,129.017097,35.280406,
240,2호선,증산,,129.010246,35.308302,
241,2호선,부산대양산캠퍼스,,129.0139408,35.316955,
242,2호선,남양산,범어,129.019457,35.325359,
243,2호선,양산,시청,129.026391,35.33872773,
301,3호선,수영,,129.11459,35.167753,2호선
302,3호선,망미,병무청,129.108225,35.171528,
303,3호선,배산,,129.095498,35.173504,
304,3호선,물만골,,129.085748,35.176808,
305,3호선,연산,,129.081526,35.186173,1호선
306,3호선,거제,법원 · 검찰청,129.073941,35.188589,동해선
307,3호선,종합운동장,빅토리움,129.067504,35.19125,
308,3호선,사직,,129.064996,35.198998,
309,3호선,미남,,129.068061,35.205503,4호선
310,3호선,만덕,,129.036527,35.213,
311,3호선,남산정,부산폴리텍대학,129.023928,35.21334,
312,3호선,숙등,부민병원,129.012749,35.21197,
313,3호선,덕천,,129.005671,35.210215,2호선
314,3호선,구포,,128.996366,35.206697,
315,3호선,강서구청,,128.981756,35.211247,
316,3호선,체육공원,,128.9696515,35.212577,
317,3호선,대저,,128.9610488,35.213386,부산김해경전철
401,4호선,미남,,129.069172,35.207116,3호선
402,4호선,동래,,129.077082,35.204834,1호선
403,4호선,수안,동래읍성임진왜란역사관,129.083806,35.201828,
404,4호선,낙민,,129.090774,35.200254,
405,4호선,충렬사,안락,129.097636,35.199859,
406,4호선,명장,,129.101517,35.205143,
407,4호선,서동,세웅병원,129.107683,35.213333,
408,4호선,금사,,129.115153,35.215829,
409,4호선,반여농산물시장,,129.124061,35.217779,
410,4호선,석대,,129.137179,35.21811162,
411,4호선,영산대,아랫반송,129.146149,35.225777,
412,4호선,윗반송,,129.154024,35.232506,
413,4호선,고촌,,129.1604437,35.236031,
414,4호선,안평,고촌주택단지,129.171823,35.237363,
