호선명,역명,엘리베이터 관리번호,근접 출입구번호,상세위치,시작층(지상/지하),시작층(운행역층),종료층(지상/지하),종료층(운행역층),정원(인원수),정원(중량)(kg),승강기 상태,승강기 일련번호
1호선,노포,1,2번,"(2F) 2번 출입구 앞
(1F) 범어사역 방향 승강장 6-1 출입문 앞",지상,1,지상,2,10,750,운행,8057-518
1호선,노포,2,2번,"(2F) 2번 출입구 앞
(1F) 노포행 승강장 6-1 출입문 앞",지상,1,지상,2,10,750,운행,8052-981
1호선,노포,3,2번,"(2F) 종합버스터미널 가는 길목측 대합실
(1F) 노포행 승강장 1-1 인근",지상,1,지상,2,12,900,운행,8119-111
1호선,범어사,1,3번,"(1F) 3번출입구
(B2) 1번/3번 출입구 방향",지하,2,지상,1,13,1000,운행,8051-201
1호선,범어사,2,4번,"(1F) 4번출입구
(B2) 2번/4번 출입구 방향",지하,2,지상,1,13,1000,운행,8051-202
1호선,범어사,3,,"(B2) 남산역 방향 표내는 곳 내, 1번/3번 출입구 방향
(B3) 남산역 방향 승강장 8-1 출입문 앞 ",지하,3,지하,2,13,1000,운행,8079-673
1호선,범어사,4,,"(B2) 노포역 방향 표내는 곳 내, 2번/4번 출입구방향
(B3) 노포역 방향 승강장 8-1출입문 앞 ",지하,3,지하,2,13,1000,운행,8079-674
1호선,남산,1,3번,"(1F) 3번 출입구 앞
(B1) 10번 표내는 곳 옆",지하,1,지상,1,13,1000,운행,8022-373
1호선,남산,2,4번,"(1F) 4번 출입구 앞
(B1) 20번 표내는 곳 옆",지하,1,지상,1,13,1000,운행,8022-374
1호선,남산,3,,"(B1) 15번 표내는 곳 앞
(B2) 두실역 방향 승강장  5-3 출입문 앞",지하,2,지하,1,13,1000,운행,8047-373
1호선,남산,4,,"(B1) 25번 표내는 곳 앞, 2번/4번 출입구 방향
(B2) 범어사역 방향 승강장  8-2 출입문 앞",지하,2,지하,1,13,1000,운행,8047-372
1호선,두실,1,3번,"(1F) 3번 출입구 옆
(B1) 3번 출입구 방향",지하,1,지상,1,13,1000,운행,8054-254
1호선,두실,2,4번,"(1F) 4번 출입구 옆
(B1) 4번 출입구 방향",지하,1,지상,1,13,1000,운행,8054-255
