호선명,역명,에스컬레이터 관리번호,,근접 출입구번호,시작층(지상/지하),시작층(운행역층),시작층(상세위치),종료층(지상/지하),종료층(운행역층),종료층(상세위치),승강기 상태,승강기형폭,승강기 일련번호
1호선,노포,1,상행,3번,지상,1,(1F) 노포행 승강장 4-3 출입문 앞 ,지상,2,"(2F) 30번대 표내는곳 내 계단 옆, 3번 출입구 근처, ",운행,1200형,8800-026
1호선,노포,2,상행,3번,지상,1,(1F) 노포행 승강장 1-1 인근,지상,2,(2F) 종합버스터미널 가는 길목측 대합실,운행,1200형,8806-650
1호선,범어사,1,상행,,지하,2,(B2) 표내는 곳 옆,지하,1, (B1) 5번/7번 출입구 방향,운행,1200형,8803-522
1호선,동래,1,상행,,지상,1.5,(1.5F) 4호선 환승통로 > (2F)교대역 방향 4-1 출입문 앞,지상,2,(2F)교대역 방향 4-1 출입문 앞>(1.5F) 4호선 환승통로,운행,800형,8803-676
1호선,동래,2,상행,,지상,1.5,(1.5F) 4호선 환승통로 > (2F)명륜역 방향 4-1 출입문 앞,지상,2,(2F)명륜역 방향 4-1 출입문 앞>(1.5F) 4호선 환승통로,운행,800형,8803-677
1호선,교대,1,상행,4번,지하,1,(B1) 4번출입구,지상,1,(B1) 4번출입구,운행,1200형,8804-578
1호선,1연산,1,상행,,지하,2,(B2)시청역 방향 승강장 6-1출입문 앞,지하,1,"(B1)표내는곳 계단 옆, 1번/2번 출입구 방향",운행,1200형,8801-183
1호선,1연산,2,상행,,지하,2,(B2)교대역 방향 승강장 6-2출입문 앞,지하,1,"(B1)표내는곳 계단 옆, 1번/2번 출입구 방향",운행,1200형,8801-184
1호선,1연산,3,상행,,지하,2,(B2)시청역 방향 승강장 3-3출입문 앞,지하,1,"(B1)표내는곳 계단 옆, 5번/7번번 출입구 방향",운행,800형,8801-185
1호선,1연산,4,상행,,지하,2,(B2)교대역 방향 승강장 2-3출입문 앞,지하,1,"(B1)표내는곳 계단 옆, 14번/16번번 출입구 방향",운행,800형,8801-186
1호선,1서면,1,상행,13번,지하,1,(B1) 13번 출입구 아래,지상,1,(1F) 13번 출입구 위,운행,1200형,8800-012
