호선명,역번호,역명,종착역 여부,환승역 여부,승강장 유형,역 위도,역 경도,엘리베이터 내부 관리번호,엘리베이터 고유번호,출발층,출발 구분,출발층위,도착층,도착 구분,도착층위,이동방향,단계별 대체 경로,경로 이용 가능 여부,경로복잡도 점수,경로복잡도 등급,학습라벨,대체경로유형
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,1,E-0095-01,대합실,지하,1,역사 외부,지상,1,양방향,2호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,1,E-0095-01,역사 외부,지상,1,대합실,지하,1,양방향,2호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,2,E-0095-02,대합실,지하,1,역사 외부,지상,1,양방향,1호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,2,E-0095-02,역사 외부,지상,1,대합실,지하,1,양방향,1호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,3,E-0095-03,승강장,지하,2,대합실,지하,1,양방향,"회차선(다대포해수욕장행 열차)을 통해 노포행 열차 탑승(역무원 안내 필요), 다대포해수욕장역 하차, 4호기 이용(대합실 이동)",Y,7,복잡,역무원 문의,ALT_INFO
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,3,E-0095-03,대합실,지하,1,승강장,지하,2,양방향,대체 경로 없음,N,,이동 불가,이동 불가,ALT_NONE
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,4,E-0095-04,승강장,지하,2,대합실,지하,1,양방향,대체 경로 없음,N,,이동 불가,이동 불가,ALT_NONE
1,95,다대포해수욕장,Y,N,상대식,35.04867,128.9641,4,E-0095-04,대합실,지하,1,승강장,지하,2,양방향,"3호기 이용(다대포해수욕장행 승강장 이동), 회차선(다대포해수욕장행 열차)을 통해 노포행 열차 탑승(역무원 안내 필요)",Y,6,복잡,역무원 문의,ALT_INFO
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,1,E-0096-01,대합실,지하,1,역사 외부,지상,1,양방향,2호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,1,E-0096-01,역사 외부,지상,1,대합실,지하,1,양방향,2호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,2,E-0096-02,대합실,지하,1,역사 외부,지상,1,양방향,1호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,2,E-0096-02,역사 외부,지상,1,대합실,지하,1,양방향,1호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,3,E-0096-03,대합실,지하,1,대합실,지상,2,양방향,1호기 이용 또는 2호기 이용,Y,2,단순,대체 엘리베이터 이용,ALT_ELV
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,3,E-0096-03,역사 외부,지상,1,역사 외부,지상,1,양방향,1호기 이용 또는 2호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,4,E-0096-04,승강장,지하,2,대합실,지하,1,양방향,"다대포해수욕장행 열차 이용, 다대포해수욕장역 하차, 반대방향 노포행 열차 이용, 다대포항역 하차, 5호기 이용(대합실 이동)",Y,10,복잡,역 복귀 이동,ALT_BACK
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,4,E-0096-04,대합실,지하,1,승강장,지하,2,양방향,"노포행 열차 이용, 낫개역 하차, 반대방향 다대포해수욕장행 열차 이용",Y,7,복잡,타 역 환승,ALT_STN
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,5,E-0096-05,승강장,지하,2,대합실,지하,1,양방향,"노포행 열차 이용, 낫개역 하차, 반대방향 다대포해수욕장행 열차 이용, 다대포항역 하차, 4호기 이용(대합실 이동)",Y,10,복잡,역 복귀 이동,ALT_BACK
1,96,다대포항,N,N,상대식,35.05771847,128.9713128,5,E-0096-05,대합실,지하,1,승강장,지하,2,양방향,"다대포해수욕장행 열차 이용, 다대포해수욕장역 하차, 반대방향 노포행 열차 이용",Y,7,복잡,타 역 환승,ALT_STN
1,97,낫개,N,N,상대식,35.06543602,128.9796806,1,E-0097-01,대합실,지하,1,역사 외부,지상,1,양방향,2호기 이용 또는 3호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,97,낫개,N,N,상대식,35.06543602,128.9796806,1,E-0097-01,역사 외부,지상,1,대합실,지하,1,양방향,2호기 이용 또는 3호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,97,낫개,N,N,상대식,35.06543602,128.9796806,2,E-0097-02,대합실,지하,1,역사 외부,지상,1,양방향,1호기 이용 또는 3호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,97,낫개,N,N,상대식,35.06543602,128.9796806,2,E-0097-02,역사 외부,지상,1,대합실,지하,1,양방향,1호기 이용 또는 3호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,97,낫개,N,N,상대식,35.06543602,128.9796806,3,E-0097-03,대합실,지하,1,역사 외부,지상,1,양방향,1호기 이용 또는 2호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,97,낫개,N,N,상대식,35.06543602,128.9796806,3,E-0097-03,역사 외부,지상,1,대합실,지하,1,양방향,1호기 이용 또는 2호기 이용,Y,1,단순,대체 엘리베이터 이용,ALT_ELV
1,97,낫개,N,N,상대식,35.06543602,128.9796806,4,E-0097-04,승강장,지하,3,대합실,지하,1,양방향,"다대포해수욕장행 열차 이용, 다대포항역 하차, 반대방향 노포행 열차 이용, 낫개역 하차, 5호기 이용(대합실 이동)",Y,10,복잡,역 복귀 이동,ALT_BACK
