호선,역번호,역명,상하선,승강장위치,연단간격,승강장선형
1,95,다대포해수욕장,상선,다대포해수욕장행 1-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 1-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 1-3,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 2-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 2-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 2-3,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 3-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 3-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 3-3,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 4-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 4-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 4-3,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 5-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 5-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 5-3,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 6-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 6-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 6-3,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 7-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 7-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 7-3,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 8-1,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 8-2,좁음,직선
1,95,다대포해수욕장,상선,다대포해수욕장행 8-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 1-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 1-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 1-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 2-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 2-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 2-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 3-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 3-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 3-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 4-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 4-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 4-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 5-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 5-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 5-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 6-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 6-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 6-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 7-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 7-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 7-3,좁음,직선
1,95,다대포해수욕장,하선,노포행 8-1,좁음,직선
1,95,다대포해수욕장,하선,노포행 8-2,좁음,직선
1,95,다대포해수욕장,하선,노포행 8-3,좁음,직선
1,96,다대포항,상선,다대포해수욕장행 1-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 1-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 1-3,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 2-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 2-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 2-3,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 3-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 3-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 3-3,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 4-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 4-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 4-3,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 5-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 5-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 5-3,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 6-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 6-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 6-3,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 7-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 7-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 7-3,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 8-1,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 8-2,좁음,곡선
1,96,다대포항,상선,다대포해수욕장행 8-3,좁음,곡선
1,96,다대포항,하선,노포행 1-1,좁음,곡선
1,96,다대포항,하선,노포행 1-2,좁음,곡선
1,96,다대포항,하선,노포행 1-3,좁음,곡선
1,96,다대포항,하선,노포행 2-1,좁음,곡선
1,96,다대포항,하선,노포행 2-2,좁음,곡선
1,96,다대포항,하선,노포행 2-3,좁음,곡선
1,96,다대포항,하선,노포행 3-1,좁음,곡선
1,96,다대포항,하선,노포행 3-2,좁음,곡선
1,96,다대포항,하선,노포행 3-3,좁음,곡선
1,96,다대포항,하선,노포행 4-1,좁음,곡선
1,96,다대포항,하선,노포행 4-2,좁음,곡선
1,96,다대포항,하선,노포행 4-3,좁음,곡선
1,96,다대포항,하선,노포행 5-1,좁음,곡선
1,96,다대포항,하선,노포행 5-2,좁음,곡선
1,96,다대포항,하선,노포행 5-3,좁음,곡선
1,96,다대포항,하선,노포행 6-1,좁음,곡선
1,96,다대포항,하선,노포행 6-2,좁음,곡선
1,96,다대포항,하선,노포행 6-3,좁음,곡선
1,96,다대포항,하선,노포행 7-1,좁음,곡선
1,96,다대포항,하선,노포행 7-2,좁음,곡선
1,96,다대포항,하선,노포행 7-3,좁음,곡선
1,96,다대포항,하선,노포행 8-1,좁음,곡선
1,96,다대포항,하선,노포행 8-2,좁음,곡선
1,96,다대포항,하선,노포행 8-3,좁음,곡선
1,97,낫개,상선,다대포해수욕장행 1-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 1-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 1-3,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 2-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 2-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 2-3,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 3-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 3-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 3-3,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 4-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 4-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 4-3,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 5-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 5-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 5-3,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 6-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 6-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 6-3,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 7-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 7-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 7-3,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 8-1,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 8-2,좁음,(완화)곡선
1,97,낫개,상선,다대포해수욕장행 8-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 1-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 1-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 1-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 2-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 2-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 2-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 3-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 3-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 3-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 4-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 4-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 4-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 5-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 5-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 5-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 6-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 6-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 6-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 7-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 7-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 7-3,좁음,(완화)곡선
1,97,낫개,하선,노포행 8-1,좁음,(완화)곡선
1,97,낫개,하선,노포행 8-2,좁음,(완화)곡선
1,97,낫개,하선,노포행 8-3,좁음,(완화)곡선
1,98,신장림,상선,다대포해수욕장행 1-1,좁음,(완화)곡선
1,98,신장림,상선,다대포해수욕장행 1-2,좁음,(완화)곡선
1,98,신장림,상선,다대포해수욕장행 1-3,좁음,(완화)곡선
1,98,신장림,상선,다대포해수욕장행 2-1,좁음,(완화)곡선
