연번,호선명,역명,상세위치,소형(개수),중형(개수),대형(개수),특대형(개수),이용요금,운영사
1,1,다대포해수욕장,(B1) 대합실 고객센터 근처,3,8,0,7,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
2,1,다대포항,"(B1) 표내는 곳 인근, 1번 엘리베이터 옆",6,4,0,2,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
3,1,하단,"(B1) 1번 엘리베이터 옆, 3번출입구 방향",10,10,1,7,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
4,1,괴정,(B1) 3번출입구 방향,4,4,1,2,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
5,1,토성,"(B1) 표내는 곳 인근, 3번출입구 방향",6,6,0,7,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
6,1,자갈치,"(B1) 표내는 곳 인근, 3번출입구 방향",11,28,2,45,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
7,1,남포,"(B1) 표내는 곳 인근, 2, 5번출입구 방향",12,32,0,56,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
8,1,중앙,(B1) 14번출입구 방향,6,6,0,9,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
9,1,부산,"(B1) 3번, 4번, 6번 출입구 방향",10,40,7,78,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
10,1,초량,(B1) 8번출입구 방향,6,2,0,7,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
11,1,부산진,"(B1) 2번 엘리베이터 옆, 6번출입구 방향",6,2,0,7,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
12,1,범일,"(B1) 대합실 고객센터 근처, 3번출입구 방향",4,9,0,8,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
13,1,범내골,"(B1) 대합실 고객센터 근처, 8번출입구 방향",3,4,0,9,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
14,1,서면,"(B1) 표내는 곳 인근, 2호선 환승계단, 13번 출구 인근 ",22,48,13,62,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
15,1,부전,"(B1) 표내는 곳 인근, 만남의 장소 인근",6,8,0,10,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
16,1,양정,"(B1) 표내는 곳 인근, 화장실 옆",7,4,1,3,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
17,1,시청,"(B1) 표내는 곳 인근, 1번 엘리베이터 옆",6,4,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
18,1,연산,"(B1) 표내는 곳 인근, (B1) 12번출입구 방향",6,10,0,7,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
19,1,동래,(F1) 1번 출입구 방향,6,12,0,6,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
20,1,명륜,(F1) 2번 출입구 방향,3,4,0,3,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
21,1,온천장,(F1) 3번 출입구 방향,3,6,0,6,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
22,1,부산대,(F1) 4번 출입구 방향,12,22,0,11,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
23,1,장전,(F1) 4번 출입구 방향,7,4,0,3,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
24,1,노포,(F1) 대합실 고객센터 근처,10,6,0,3,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
