호선명,역명,지상지하구분,설치역층,상세위치,금융기관명,이용가능시간,고장신고 연락처
1호선,신평,지상,1,"(1F) 표내는 곳 인근, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,하단,지하,1,"(B1) 표내는 곳 인근, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,당리,지하,1,(B1) 4번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,사하,지하,1,(B1) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,괴정,지하,1,(B1) 3번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,대티,지하,1,"(B1) 1번 엘리베이터 옆, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,서대신,지하,1,(B1) 만남의 광장 옆,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,동대신,지하,1,(B1) 6번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,토성,지하,1,"(B1) 표내는 곳 인근, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,자갈치,지하,1,"(B1) 표내는 곳 인근, 6번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,남포,지하,1,"(B1) 표내는 곳 인근, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,중앙,지하,1,"(B1) 표내는 곳 인근, 1번 엘리베이터 옆 ",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,부산,지하,1,"(B1) 표내는 곳 및 대합실 고객센터 근처,",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,초량,지하,1,"(B1) 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,부산진,지하,1,"(B1) 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,좌천,지하,1,"(B1) 5번, 7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,범일,지하,1,(B1) 표내는 곳 및 대합실 고객센터 근처,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,서면,지하,1,(B1) 8번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,범내골,지하,1,"(B1) 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,부전,지하,1,"(B1) 표내는 곳 인근, 1번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,양정,지하,1,"(B1) 표내는 곳 인근, 5번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,연산,지하,1,"(B1) 표내는 곳 인근, 5번, 7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,시청,지하,1,"(B1) 표내는 곳 인근, 6번, 8번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,교대,지하,1,"(B1) 표내는 곳 인근, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,동래,지상,1,(1F) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,명륜,지상,1,(1F) 2번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,온천장,지상,1,(1F) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,부산대,지상,1,(1F) 4번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,장전,지상,1,(1F) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,구서,지상,2,(F2) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,두실,지상,1,(1F) 1번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,남산,지하,1,"(B1) 표내는 곳 인근, 5번,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,범어사,지하,2,(B1) 2번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
1호선,노포,지상,1,(1F) 대합실 고객센터 근처,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,장산,지하,1,"(B1)고객센터 맞은편, 5번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,해운대,지하,1,"(B1)고객센터 맞은편, 2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,센텀시티,지하,1,"(B1) 금은거래소 맞은편, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,수영,지하,1,(B1) 8번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,광안,지하,1,(B1) 4번 출입구 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,경성대부경대,지하,1,"(B1) 5,6번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,대연,지하,1,"(B1) 화장품가게 돌아가는편, 3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,전포,지하,1,"(B1) 물품보관함 오른쪽, 만남의 장소 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,서면1,지하,1,"(B1) 화장실 오른쪽 벽면, 1,2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,서면2,지하,1,(B1) 고객센터 기준 왼편 전포 방향 물품보관함 옆,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,가야,지하,1,"(B1) 화장실 오른쪽 벽면, 1,2번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,동의대,지하,1,"(B1) 5,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,개금,지하,1,"(B1) 고객센터 앞쪽, 1,3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,주례,지하,1,"(B1) 화장품가게 맞은편, 1,3번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,사상,지하,1,(B1) 고객센터 맞은편 기둥,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,덕천,지하,1,(B1) 5번 출입구 방향 환기실 옆,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,화명,지하,1,(B1) 고객센터 맞은편,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,증산,지상,1,(B1) 고객센터 맞은편,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,남양산,지상,2,(B1) 고객센터 오른쪽 방향,(주)효성티앤에스,05:30~23:30,080-920-2220
2호선,양산,지상,2,(F2) 고객센터 오른쪽,(주)효성티앤에스,05:30~23:30,080-920-2220
3호선,대저,지상,1,(1F) 물품보관함 옆,(주)효성티앤에스,05:30~23:30,080-920-2220
3호선,망미,지하,1,(B1) 물품보관함 옆,(주)효성티앤에스,05:30~23:30,080-920-2220
3호선,미남,지하,1,"(B1) 고객센터 맞은편, 물품보관함 오른쪽 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
3호선,연산,지하,1,"(B1) 5,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
3호선,종합운동장,지하,1,"(B1) 3,4,6,7번 출입구 방향",(주)효성티앤에스,05:30~23:30,080-920-2220
