호선명,역명,충전설비구분,지상지하구분,설치역층,상세위치,충전설비수,이용요금,운영기관 전화번호
1호선,다대포해수욕장,휴대폰,지하,1,"(B1) 표내는 곳 근처, 화장실 근처",1,"1,600원(1시간당)",02-454-6666
1호선,다대포항,휴대폰,지하,1,(B1) 3번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,낫개,휴대폰,지하,1,(B1) 화장실 근처,1,"1,600원(1시간당)",02-454-6666
1호선,신장림,휴대폰,지하,1,(B1) 2번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,장림,휴대폰,지하,1,"(B1) 2번, 4번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
1호선,동매,휴대폰,지하,1,(B1) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,신평,휴대폰,지상,1,"(F1) 표내는 곳 옆, 2번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
1호선,하단,휴대폰,지하,1,"(B1) 1번 출입구 방향, 외부 1번 엘리베이터 근처",2,"1,600원(1시간당)",02-454-6666
1호선,당리,휴대폰,지하,1,(B1) 6번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,사하,휴대폰,지하,1,"(B1) 화장실 옆, 내부 1번 엘리베이터 근처",1,"1,600원(1시간당)",02-454-6666
1호선,괴정,휴대폰,지하,1,"(B1) 화장실 근처, 대합실 고객센터 맞은편",1,"1,600원(1시간당)",02-454-6666
1호선,대티,휴대폰,지하,1,"(B1) 내부 1번 엘리베이터 근처, 2번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
1호선,서대신,휴대폰,지하,1,(B1) 4번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,동대신,휴대폰,지하,1,(B1) 7번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,토성역,휴대폰,지하,1,(B1) 2번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,자갈치,휴대폰,지하,1,"(B1) 3번 출입구 방향, 대합실 고객센터 맞은편",2,"1,600원(1시간당)",02-454-6666
1호선,남포,휴대폰,지하,1,"(B1) 표내는 곳 인근, 1번 내부 엘리베이터 옆",2,"1,600원(1시간당)",02-454-6666
1호선,중앙,휴대폰,지하,1,"(B1) 표내는 곳 인근, 13번 내부 엘리베이터 옆",1,"1,600원(1시간당)",02-454-6666
1호선,부산,휴대폰,지하,1,"(B1) 5번 출입구 방향, 대합실 고객센터 인근",2,"1,600원(1시간당)",02-454-6666
1호선,초량,휴대폰,지하,1,"(B1) 7번, 9번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
1호선,부산진,휴대폰,지하,1,(B1) 6번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,좌천,휴대폰,지하,1,(B1) 5번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,범일,휴대폰,지하,1,(B1) 대합실 고객센터 옆,1,"1,600원(1시간당)",02-454-6666
1호선,범내골,휴대폰,지하,1,(B1) 8번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,서면,휴대폰,지하,1,"(B1) 표내는 곳, 13번 출입구 방향, 범내골역 방향",4,"1,600원(1시간당)",02-454-6666
1호선,부전,휴대폰,지하,1,"(B1) 표내는 곳, 만남의 장소 맞은편",1,"1,600원(1시간당)",02-454-6666
1호선,양정,휴대폰,지하,1,"(B1) 표내는 곳, 8번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
1호선,시청,휴대폰,지하,1,(B1) 3번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,연산,휴대폰,지하,1,"(B1) 표내는 곳 옆, 7번 출입구 방향",2,"1,600원(1시간당)",02-454-6666
1호선,교대,휴대폰,지하,1,(B1) 고객센터 옆,1,"1,600원(1시간당)",02-454-6666
1호선,동래,휴대폰,지상,1,"(F1) 표내는 곳, 4번 출입구 방향",2,"1,600원(1시간당)",02-454-6666
1호선,명륜,휴대폰,지상,1,(F1) 2번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,온천장,휴대폰,지상,1,(F1) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,부산대,휴대폰,지상,1,(F1) 4번 출입구 방향,2,"1,600원(1시간당)",02-454-6666
1호선,장전,휴대폰,지상,1,(F1) 4번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,구서,휴대폰,지상,2,"(F2) 표내는 곳, 1번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
1호선,두실,휴대폰,지상,1,(F1) 대합실 고객센터 옆,1,"1,600원(1시간당)",02-454-6666
1호선,남산,휴대폰,지하,1,(B1) 대합실 고객센터 맞은편,1,"1,600원(1시간당)",02-454-6666
1호선,범어사,휴대폰,지하,2,(B1) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
1호선,노포,휴대폰,지상,1,(F1) 대합실 고객센터 옆,2,"1,600원(1시간당)",02-454-6666
2호선,장산,휴대폰,지하,1,"(B1) 고객센터 맞은편, 만남의 광장",2,"1,600원(1시간당)",02-454-6666
2호선,중동,휴대폰,지하,1,(B1) 표 내는 곳에서 7번 출입구로 나가는 곳,1,"1,600원(1시간당)",02-454-6666
2호선,해운대,휴대폰,지하,1,(B1) 고객센터 옆,1,"1,600원(1시간당)",02-454-6666
2호선,동백,휴대폰,지하,1,(B1) 점자안내판 옆,1,"1,600원(1시간당)",02-454-6666
2호선,벡스코,휴대폰,지하,1,(B1) 점자안내판 옆,1,"1,600원(1시간당)",02-454-6666
2호선,센텀시티,휴대폰,지하,1,"(B1) 6,8번 출구 방향, 13번 출구 방향",2,"1,600원(1시간당)",02-454-6666
2호선,민락,휴대폰,지하,1,(B1) 점자안내판 옆,1,"1,600원(1시간당)",02-454-6666
2호선,수영,휴대폰,지하,1,"(B1) 점자안내판 옆, 관광안내도판 옆",2,"1,600원(1시간당)",02-454-6666
2호선,광안,휴대폰,지하,1,(B1) ATM기기 옆,1,"1,600원(1시간당)",02-454-6666
2호선,금련산,휴대폰,지하,1,(B1) 좋은강안병원 연결통로 방향,1,"1,600원(1시간당)",02-454-6666
2호선,남천,휴대폰,지하,1,(B1) 3번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,경성대부경대,휴대폰,지하,1,(B1) 물품보관함 옆,2,"1,600원(1시간당)",02-454-6666
2호선,대연,휴대폰,지하,1,(B1) 점자안내판 옆 ,1,"1,600원(1시간당)",02-454-6666
2호선,못골,휴대폰,지하,1,(B1) 4번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,지게골,휴대폰,지하,1,(B1) E/V 출입구 앞쪽,1,"1,600원(1시간당)",02-454-6666
2호선,문현,휴대폰,지하,1,(B1) 점자안내판 옆,1,"1,600원(1시간당)",02-454-6666
2호선,국제금융센터,휴대폰,지하,1,(B1) 만남의 장소 옆,1,"1,600원(1시간당)",02-454-6666
2호선,전포,휴대폰,지하,1,(B1) 물품보관함 옆,1,"1,600원(1시간당)",02-454-6666
2호선,부암,휴대폰,지하,1,(B1) 5번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,가야,휴대폰,지하,1,(B1) ATM기기 옆,1,"1,600원(1시간당)",02-454-6666
2호선,동의대,휴대폰,지하,1,(B1) 만남의 장소 옆,1,"1,600원(1시간당)",02-454-6666
2호선,개금,휴대폰,지하,1,(B1) 화장실 입구 방향,1,"1,600원(1시간당)",02-454-6666
