호선명,역명,관리번호,지상지하구분,설치역층,근접 출입구번호,상세위치,음성 서비스 여부,점자 서비스 여부,시각 서비스 여부,운영기관,운영기관 전화번호
1호선,다대포해수욕장,19501,지하,1층,2번 출입구,(B1) 고객대합실 중앙 기둥,지원,지원,지원,부산광역시,1811-3324
1호선,남포,11101,지하,1층,2번 출입구,"(B1) 역무안전실 근처, 남포지하쇼핑센터 연결통로 기둥",지원,지원,지원,부산광역시,1811-3324
1호선,남포,11102,지하,1층,"4, 6번 출입구","(B1) 4, 6번 출입구 근처, S18, S19 상가 앞 기둥",지원,지원,지원,부산광역시,1811-3324
1호선,부산역,11301,지하,1층,4번(E/L) 출입구,"(B1) 4번 출입구(E/L), 화장실 근처 기둥",지원,지원,지원,부산광역시,1811-3324
1호선,부산역,11302,지하,1층,6번 출입구,"(B1) 6번 출입구 근처, 승차권 자동발매기 근처",지원,지원,지원,부산광역시,1811-3324
1호선,서면,11901,지하,1층,"6, 8, 10, 13번 출입구","(B1) 상가 16 근처, 승차권 자동발매기 근처",지원,지원,지원,부산광역시,1811-3324
1호선,서면,11902,지하,1층,"6, 8, 10, 13번 출입구","(B1) 상가 16 근처, 승차권 자동발매기 근처",지원,지원,지원,부산광역시,1811-3324
1호선,부전,12001,지하,1층,3번 출입구,(B1) 지하상가방향 수직정원 시설 시작 위치 첫번째 기둥,지원,지원,지원,부산광역시,1811-3324
1호선,부전,12002,지하,1층,6번(E/L) 출입구,(B1) 6번 출입구(E/L) 근처 벽면,지원,지원,지원,부산광역시,1811-3324
1호선,양정,12101,지하,1층,"1, 2, 3, 4, 5번 출입구",(B1) CU 편의점 근처 기둥,지원,지원,지원,부산광역시,1811-3324
1호선,양정,12102,지하,1층,"6, 7, 8, 9번 출입구","(B1) 노포행 방향 승차권 자동발매기 근처, 휴게공간 맞은편 기둥",지원,지원,지원,부산광역시,1811-3324
1호선,시청,12201,지하,1층,"1, 2, 3, 4번 출입구","(B1) 네이쳐리퍼플릭 상가 근처, 표내는 곳 근처 기둥",지원,지원,지원,부산광역시,1811-3324
1호선,시청,12202,지하,1층,"5, 6, 7, 8번 출입구",(B1) CU 편의점 근처 기둥,지원,지원,지원,부산광역시,1811-3324
1호선,연산,12301,지하,1층,"2, 4번 출입구","(B1) 한국순금거래소, 무인민원발급기 근처",지원,지원,지원,부산광역시,1811-3324
1호선,연산,12302,지하,1층,5번 출입구,(B1) 역무안전실 앞,지원,지원,지원,부산광역시,1811-3324
1호선,동래,12501,지상,1층,1번 출입구,"(1F) CU 편의점 근처, 승차권 자동 발매기 근처",지원,지원,지원,부산광역시,1811-3324
1호선,동래,12502,지상,1층,3번 출입구,(1F) 노포행 방향 표내는 곳 근처 기둥,지원,지원,지원,부산광역시,1811-3324
2호선,장산,20101,지하,1층,5번 출입구,"(B1) 1, 2, 3, 4번 출입구 방향 표내는 곳 좌측 난간",지원,지원,지원,부산광역시,1811-3324
2호선,장산,20102,지하,1층,7번 출입구,"(B1) 양산행 방향 표내는 곳 앞 벽면, 역무안전실 근처",지원,지원,지원,부산광역시,1811-3324
2호선,해운대,20301,지하,1층,4번 출입구,(B1) 양산행 방향 교통카드 자동보충기 근처 난간,지원,지원,지원,부산광역시,1811-3324
2호선,벡스코,20501,지하,1층," 2, 4번 출입구",(B1) 물품보관함 근처 난간,지원,지원,지원,부산광역시,1811-3324
2호선,벡스코,20502,지하,1층,"6, 8번 출입구","(B1) 화장실 근처, 양산행 방향 승차권 자동발매기 근처",지원,지원,지원,부산광역시,1811-3324
2호선,센텀시티,20601,지하,1층,"3, 4번 출입구","(B1) 승차권 자동발매기 근처, 물품보관함 근처 기둥",지원,지원,지원,부산광역시,1811-3324
2호선,센텀시티,20602,지하,1층,"10, 12번 출입구",(B1) 승차권 자동발매기 근처 기둥,지원,지원,지원,부산광역시,1811-3324
2호선,수영,20801,지하,1층,"10, 13번 출입구","(B1)  만남의 장소 근처, 휴대폰충전기 근처 기둥",지원,지원,지원,부산광역시,1811-3324
2호선,수영,20802,지하,1층,"10, 13번 출입구","(B1) 고객대합실 중앙 표내는 곳 근처, 신호기기실 근처 기둥",지원,지원,지원,부산광역시,1811-3324
2호선,수영,20803,지하,1층,"11, 13번 출입구","(B1) 11, 13번 출입구 근처 표내는 곳 기둥",지원,지원,지원,부산광역시,1811-3324
2호선,광안,20901,지하,2층,"1, 2번 출입구","(B2) 1, 2번 출입구 방향 계단 앞 기둥",지원,지원,지원,부산광역시,1811-3324
